Sr_No,Round,Institute,Program,Stream,Quota,Category,Seat_Gender,Opening_Rank,Closing_Rank,Remark
1481,Round 1,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,527427.0,937891.0,Fresh Only
1482,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC,Both Male and Female Seats,375266.0,475092.0,Fresh Only
1483,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science And Engineering(Data Science),B.Tech,Home State,BC,Both Male and Female Seats,664589.0,1169531.0,Fresh Only
1484,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,248864.0,256178.0,Fresh Only
1485,Round 1,"I.E.C. COLLEGE OF ENGINEERING & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,819596.0,1070774.0,Fresh Only
1486,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,54179.0,84717.0,Fresh Only
1487,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Data Science),B.Tech,Home State,BC,Both Male and Female Seats,304915.0,365320.0,Fresh Only
1488,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electronics Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,197091.0,291134.0,Fresh Only
1489,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,584839.0,1000922.0,Fresh Only
1490,Round 1,"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Civil Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,524067.0,736372.0,Fresh Only
1491,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,45009.0,55297.0,Fresh Only
1492,Round 1,"RAJKIYA ENGINEERING COLLEGE,AZAMGARH",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,417189.0,704586.0,Fresh Only
1493,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,88778.0,105785.0,Fresh Only
1494,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Civil Engineering,B.Tech,Home State,SC(Girl),Female Seats,408621.0,427972.0,Fresh Only
1495,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,138328.0,150703.0,Fresh Only
1496,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Data Science),B.Tech,Home State,BC(Girl),Female Seats,602037.0,684779.0,Fresh Only
1497,Round 1,Ch. Charan Singh University Campus (SCRIET) Meerut,Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,181485.0,249270.0,Fresh Only
1498,Round 1,"INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,VARANASI",Handloom & Textile Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,377081.0,1404471.0,Fresh Only
1499,Round 1,Maharaja Suhel Dev State University Azamgarh.,Computer Science Engineering,B.Tech,Home State,BC(Girl),Female Seats,809130.0,968738.0,Fresh Only
